Genre Name,Number of Movies
Documentary,167
Comedy,497
Fantasy,180
Kids,137
Coming of Age,199
Drama,129
Romance,20
Animals & Nature,199
Docuseries,111
Family,602
Action-Adventure,438
Animation,516
Anime,4
Romantic Comedy,2
Musical,41
Concert Film,6
Music,78
Science Fiction,84
Crime,15
Variety,11
Thriller,5
Parody,10
Reality,23
Police/Cop,1
Anthology,26
Buddy,39
Talk Show,1
Biographical,38
Sports,41
Survival,9
Western,7
Spy/Espionage,2
Lifestyle,7
Historical,49
Dance,6
Game Show / Competition,9
Series,3
Medical,5
Mystery,12
Movies,1
Soap Opera / Melodrama,2
Disaster,2
Superhero,15
Travel,1
