Name,URL
Walmart,https://de.wikipedia.org/wiki/Walmart
Sinopec,https://de.wikipedia.org/wiki/Sinopec
Amazon.com,https://de.wikipedia.org/wiki/Amazon.com
State Grid,https://de.wikipedia.org/wiki/State_Grid_Corporation
China National Petroleum,https://de.wikipedia.org/wiki/China_National_Petroleum_Corporation
Saudi Aramco,https://de.wikipedia.org/wiki/Saudi_Aramco
Volkswagen,https://de.wikipedia.org/wiki/Volkswagen_AG
Toyota Motor,https://de.wikipedia.org/wiki/Toyota
ExxonMobil,https://de.wikipedia.org/wiki/ExxonMobil
Apple,https://de.wikipedia.org/wiki/Apple
CVS Health,https://de.wikipedia.org/wiki/CVS_Caremark
Berkshire Hathaway,https://de.wikipedia.org/wiki/Berkshire_Hathaway
UnitedHealth,https://de.wikipedia.org/wiki/UnitedHealth
McKesson,https://de.wikipedia.org/wiki/McKesson
Glencore,https://de.wikipedia.org/wiki/Glencore
China State Construction Engineering,https://de.wikipedia.org/wiki/China_State_Construction_Engineering
Samsung Electronics,https://de.wikipedia.org/wiki/Samsung_Electronics
Daimler,https://de.wikipedia.org/wiki/Daimler_AG
Ping An Insurance,https://de.wikipedia.org/wiki/Ping_An_Insurance
AT&T,https://de.wikipedia.org/wiki/AT%26T
Royal Dutch Shell,https://de.wikipedia.org/wiki/Royal_Dutch_Shell
BP,https://de.wikipedia.org/wiki/BP
AmerisourceBergen,https://de.wikipedia.org/wiki/AmerisourceBergen
ICBC,https://de.wikipedia.org/wiki/Industrial_and_Commercial_Bank_of_China
Total,https://de.wikipedia.org/wiki/TotalEnergies
Foxconn,https://de.wikipedia.org/wiki/Foxconn
Trafigura,https://de.wikipedia.org/wiki/Trafigura
Exor,https://de.wikipedia.org/wiki/Exor
Alphabet,https://de.wikipedia.org/wiki/Alphabet_Inc.
China Construction Bank,https://de.wikipedia.org/wiki/China_Construction_Bank
Ford Motor,https://de.wikipedia.org/wiki/Ford_Motor_Company
CIGNA,https://de.wikipedia.org/wiki/CIGNA
Costco Wholesale,https://de.wikipedia.org/wiki/Costco_Wholesale
AXA,https://de.wikipedia.org/wiki/AXA
Agricultural Bank of China,https://de.wikipedia.org/wiki/Agricultural_Bank_of_China
Chevron,https://de.wikipedia.org/wiki/Chevron_Corporation
Cardinal Health,https://de.wikipedia.org/wiki/Cardinal_Health
JPMorgan Chase,https://de.wikipedia.org/wiki/JPMorgan_Chase
Honda Motor,https://de.wikipedia.org/wiki/Honda
General Motors,https://de.wikipedia.org/wiki/General_Motors
Walgreens Boots Alliance,https://de.wikipedia.org/wiki/Walgreens_Boots_Alliance
Mitsubishi Motors,https://de.wikipedia.org/wiki/Mitsubishi_Motors
Bank of China,https://de.wikipedia.org/wiki/Bank_of_China
Verizon,https://de.wikipedia.org/wiki/Verizon_Communications
China Life Insurance,https://de.wikipedia.org/wiki/China_Life_Insurance
Allianz,https://de.wikipedia.org/wiki/Allianz_SE
Microsoft,https://de.wikipedia.org/wiki/Microsoft
Marathon Petroleum,https://de.wikipedia.org/wiki/Marathon_Petroleum
Huawei,https://de.wikipedia.org/wiki/Huawei
China Railway Engineering,https://de.wikipedia.org/wiki/China_Railway_Engineering
Kroger,https://de.wikipedia.org/wiki/Kroger_(Unternehmen)
SAIC Motor,https://de.wikipedia.org/wiki/SAIC_Motor
Fannie Mae,https://de.wikipedia.org/wiki/Fannie_Mae
China Railway Construction,https://de.wikipedia.org/wiki/China_Railway_Construction
Gazprom,https://de.wikipedia.org/wiki/Gazprom
BMW Gruppe,https://de.wikipedia.org/wiki/BMW_Group
Lukoil,https://de.wikipedia.org/wiki/Lukoil
Bank of America,https://de.wikipedia.org/wiki/Bank_of_America
Home Depot,https://de.wikipedia.org/wiki/Home_Depot
Nippon Yūsei,https://de.wikipedia.org/wiki/Nippon_Y%C5%ABsei
Phillips 66,https://de.wikipedia.org/wiki/Phillips_66
NTT,https://de.wikipedia.org/wiki/Nippon_Telegraph_and_Telephone
Comcast,https://de.wikipedia.org/wiki/Comcast
China National Offshore Oil,https://de.wikipedia.org/wiki/China_National_Offshore_Oil
China Mobile,https://de.wikipedia.org/wiki/China_Mobile
Assicurazioni Generali,https://de.wikipedia.org/wiki/Assicurazioni_Generali
Crédit Agricole,https://de.wikipedia.org/wiki/Cr%C3%A9dit_Agricole
Anthem,https://de.wikipedia.org/wiki/Anthem_(Versicherung)
Wells Fargo,https://de.wikipedia.org/wiki/Wells_Fargo
Citigroup,https://de.wikipedia.org/wiki/Citigroup
Valero Energy,https://de.wikipedia.org/wiki/Valero_Energy
Itōchū Shōji,https://de.wikipedia.org/wiki/It%C5%8Dch%C5%AB_Sh%C5%8Dji
HSBC,https://de.wikipedia.org/wiki/HSBC
Siemens,https://de.wikipedia.org/wiki/Siemens
Pacific Construction Group,https://de.wikipedia.org/wiki/Pacific_Construction_Group
Rosneft,https://de.wikipedia.org/wiki/Rosneft
General Electric,https://de.wikipedia.org/wiki/General_Electric
China Communications Construction,https://de.wikipedia.org/wiki/China_Communications_Construction_Company
China Resources,https://de.wikipedia.org/wiki/China_Resources
Prudential plc,https://de.wikipedia.org/wiki/Prudential_plc
Dell Technologies,https://de.wikipedia.org/wiki/Dell_Technologies
Nestlé,https://de.wikipedia.org/wiki/Nestl%C3%A9
Nissan Motor,https://de.wikipedia.org/wiki/Nissan_(Auto)
Hyundai Motor,https://de.wikipedia.org/wiki/Hyundai_Motor_Company
Legal & General,https://de.wikipedia.org/wiki/Legal_%26_General
Deutsche Telekom,https://de.wikipedia.org/wiki/Deutsche_Telekom
Enel,https://de.wikipedia.org/wiki/Enel
Aviva,https://de.wikipedia.org/wiki/Aviva
China FAW Group,https://de.wikipedia.org/wiki/China_FAW_Group
China Post,https://de.wikipedia.org/wiki/China_Post
Amer International Group,https://de.wikipedia.org/wiki/Amer_International_Group
China Minmetals,https://de.wikipedia.org/wiki/China_Minmetals
Banco Santander,https://de.wikipedia.org/wiki/Banco_Santander
Softbank,https://de.wikipedia.org/wiki/Softbank
Bosch,https://de.wikipedia.org/wiki/Robert_Bosch_GmbH
Reliance Industries,https://de.wikipedia.org/wiki/Reliance_Industries
SK Group,https://de.wikipedia.org/wiki/SK_Group
Carrefour,https://de.wikipedia.org/wiki/Carrefour_(Unternehmen)
BNP Paribas,https://de.wikipedia.org/wiki/BNP_Paribas
Dongfeng Motor Corporation,https://de.wikipedia.org/wiki/Dongfeng_Motor_Corporation
